candidate_name,model_family,masi,mean_val_score,std_val_score,p95_val_score,p5_val_score
IF_n100_cauto_f0.8,IsolationForest,4.477692881431262,-0.539132523288021,0.06281320142491043,-0.4824087551244013,-0.7005152115154942
IF_n100_cauto_f1.0,IsolationForest,4.728848401737378,-0.5417424295363203,0.0632891027310264,-0.4873166409567986,-0.7071497128962829
IF_n100_c0.02_f0.8,IsolationForest,4.477692881431262,-0.539132523288021,0.06281320142491043,-0.4824087551244013,-0.7005152115154942
IF_n100_c0.02_f1.0,IsolationForest,4.728848401737378,-0.5417424295363203,0.0632891027310264,-0.4873166409567986,-0.7071497128962829
IF_n100_c0.05_f0.8,IsolationForest,4.477692881431262,-0.539132523288021,0.06281320142491043,-0.4824087551244013,-0.7005152115154942
IF_n100_c0.05_f1.0,IsolationForest,4.728848401737378,-0.5417424295363203,0.0632891027310264,-0.4873166409567986,-0.7071497128962829
IF_n150_cauto_f0.8,IsolationForest,4.492389134228627,-0.5400420610616247,0.060849816987426864,-0.48801435078595273,-0.6956608801410779
IF_n150_cauto_f1.0,IsolationForest,4.699338672986962,-0.5399544007813755,0.06423360828693817,-0.4859324594226958,-0.706190085365231
IF_n150_c0.02_f0.8,IsolationForest,4.492389134228627,-0.5400420610616247,0.060849816987426864,-0.48801435078595273,-0.6956608801410779
IF_n150_c0.02_f1.0,IsolationForest,4.699338672986962,-0.5399544007813755,0.06423360828693817,-0.4859324594226958,-0.706190085365231
IF_n150_c0.05_f0.8,IsolationForest,4.492389134228627,-0.5400420610616247,0.060849816987426864,-0.48801435078595273,-0.6956608801410779
IF_n150_c0.05_f1.0,IsolationForest,4.699338672986962,-0.5399544007813755,0.06423360828693817,-0.4859324594226958,-0.706190085365231
IF_n200_cauto_f0.8,IsolationForest,4.711115877095279,-0.5403547893598368,0.0633723543014002,-0.48788420690236856,-0.705146373462696
IF_n200_cauto_f1.0,IsolationForest,4.603478661221357,-0.5402301138657755,0.06260166051081996,-0.48701908455780746,-0.7016530200619748
IF_n200_c0.02_f0.8,IsolationForest,4.711115877095279,-0.5403547893598368,0.0633723543014002,-0.48788420690236856,-0.705146373462696
IF_n200_c0.02_f1.0,IsolationForest,4.603478661221357,-0.5402301138657755,0.06260166051081996,-0.48701908455780746,-0.7016530200619748
IF_n200_c0.05_f0.8,IsolationForest,4.711115877095279,-0.5403547893598368,0.0633723543014002,-0.48788420690236856,-0.705146373462696
IF_n200_c0.05_f1.0,IsolationForest,4.603478661221357,-0.5402301138657755,0.06260166051081996,-0.48701908455780746,-0.7016530200619748
PCA_comp4,PCAReconstruction,1.7442482264281463,-3.5799206959257694,11.484663156897064,-0.06241186801317454,-29.919856268888672
PCA_comp6,PCAReconstruction,1.8427112329622521,-1.74617612227724,5.407808797976535,-0.021693582563664243,-14.59726329883561
PCA_comp8,PCAReconstruction,1.333815259808433,-0.45898406683371407,1.6275383726777206,-0.001961843919162996,-3.485843315175266
Robust_ZScore,RobustZScore,3.8832001834819305,-4950.212958980528,10392.822218110274,-1.359386247175734,-30595.112260274283
